Site,Treatment,Rep,Sample_Date,Season,Current_crop,Previous_crop,Crop_Stage,avgCoverCrop_Biomass,avgBiomass_Total,sumWeed_Density,totSeeds_Weeds,Total_Species,avgBiomass_Pigweed,sumPigweed_Density,totSeeds_Pigweed,avgBiomass_Grass,sumGrass_Density,totSeeds_Grasses,avgBiomass_Broadleaf,sumBroadleaf_Density,totSeeds_Otherbroad,avgMoisture,avgTemperature,FieldType,convtotSeeds_Weeds,convtotSeeds_Pigweed,convtotSeeds_Grasses,convtotSeeds_Otherbroad
Colfax,Check,1,5/28/2021,Early,Corn,Wheat,V2,228.38,0,0,14,2,0,0,0,0,0,0,0,0,14,44.63333333,20.53333333,On Farm,169.5634114,0,0,169.5634114
Colfax,Check,1,7/6/2021,Late,Corn,Wheat,V11,228.38,0,0,14,2,0,0,0,0,0,0,0,0,14,17.96666667,22.53333333,On Farm,169.5634114,0,0,169.5634114
Colfax,Check,2,5/28/2021,Early,Corn,Wheat,V2,154.48,0,0,11,1,0,0,0,0,0,0,0,0,11,45.6,20.2,On Farm,133.2283947,0,0,133.2283947
Colfax,Check,2,7/6/2021,Late,Corn,Wheat,V11,154.48,0,0,11,1,0,0,0,0,0,0,0,0,11,19.26666667,25.06666667,On Farm,133.2283947,0,0,133.2283947
Colfax,Check,3,5/28/2021,Early,Corn,Wheat,V2,114.44,0,0,4,1,0,0,0,0,0,0,0,0,4,45.13333333,23.43333333,On Farm,48.44668898,0,0,48.44668898
Colfax,Check,3,7/6/2021,Late,Corn,Wheat,V11,114.44,0,0,4,1,0,0,0,0,0,0,0,0,4,16.7,28.16666667,On Farm,48.44668898,0,0,48.44668898
Colfax,Check,4,5/28/2021,Early,Corn,Wheat,V2,121.11,0,0,35,4,0,0,19,0,0,0,0,0,16,45.66666667,22.6,On Farm,423.9085286,230.1217727,0,193.7867559
Colfax,Check,4,7/6/2021,Late,Corn,Wheat,V11,121.11,0,0,35,4,0,0,19,0,0,0,0,0,16,19.96666667,30.13333333,On Farm,423.9085286,230.1217727,0,193.7867559
Colfax,Cover,1,5/28/2021,Early,Corn,Wheat,V2,333.2266,0,0,9,3,0,0,1,0,0,5,0,0,5,46.6,20.36666667,On Farm,109.0050502,12.11167224,60.55836122,60.55836122
Colfax,Cover,1,7/6/2021,Late,Corn,Wheat,V11,333.2266,0,0,9,3,0,0,1,0,0,5,0,0,5,27.7,23.56666667,On Farm,109.0050502,12.11167224,60.55836122,60.55836122
Colfax,Cover,2,5/28/2021,Early,Corn,Wheat,V2,215.75,0,0,14,3,0,0,1,0,0,2,0,0,13,46,20.7,On Farm,169.5634114,12.11167224,24.22334449,157.4517392
Colfax,Cover,2,7/6/2021,Late,Corn,Wheat,V11,215.75,0,0,14,3,0,0,1,0,0,2,0,0,13,17.7,26.06666667,On Farm,169.5634114,12.11167224,24.22334449,157.4517392
Colfax,Cover,3,5/28/2021,Early,Corn,Wheat,V2,352.64,0,0,13,3,0,0,0,0,0,1,0,0,12,40.56666667,22.9,On Farm,157.4517392,0,12.11167224,145.3400669
Colfax,Cover,3,7/6/2021,Late,Corn,Wheat,V11,352.64,0,0,13,3,0,0,0,0,0,1,0,0,12,25.6,27.3,On Farm,157.4517392,0,12.11167224,145.3400669
Colfax,Cover,4,5/28/2021,Early,Corn,Wheat,V2,295.84,0,0,21,3,0,0,11,0,0,0,0,0,10,46.66666667,23.26666667,On Farm,254.3451171,133.2283947,0,121.1167224
Colfax,Cover,4,7/6/2021,Late,Corn,Wheat,V11,295.84,0,0,21,3,0,0,11,0,0,0,0,0,10,20.56666667,29.06666667,On Farm,254.3451171,133.2283947,0,121.1167224
Greeley,Check,1,6/3/2021,Early,Soybean,Rye,V1,0,0.3485,12,25,16,0,0,2,0.294366667,8,8,0.054133333,4,16,27.03333333,37.26666667,On Farm,302.7918061,24.22334449,96.89337796,193.7867559
Greeley,Check,1,7/21/2021,Late,Soybean,Rye,R3,0,2.037366667,34,25,16,0,0,2,2.037366667,34,8,0,0,16,26.2,30.1,On Farm,302.7918061,24.22334449,96.89337796,193.7867559
Greeley,Check,2,6/3/2021,Early,Soybean,Rye,V1,0,0.3412,19,198,18,0.002733333,0,7,0.329333333,19,143,0.009133333,0,49,33.9,31.3,On Farm,2398.111104,84.78170571,1731.969131,593.47194
Greeley,Check,2,7/21/2021,Late,Soybean,Rye,R3,0,0.035766667,30,198,18,0,0,7,0.035766667,30,143,0,0,49,22.53333333,26.6,On Farm,2398.111104,84.78170571,1731.969131,593.47194
Greeley,Check,3,6/3/2021,Early,Soybean,Rye,V1,0,0.359966667,19,188,15,0.021966667,0,6,0.302133333,19,36,0.035866667,0,146,34.56666667,27.6,On Farm,2276.994382,72.67003347,436.0202008,1768.304148
Greeley,Check,3,7/21/2021,Late,Soybean,Rye,R3,0,0.8352,8,188,15,0,0,6,0.046366667,7,36,0.788833333,1,146,25.4,25.03333333,On Farm,2276.994382,72.67003347,436.0202008,1768.304148
Greeley,Check,4,6/3/2021,Early,Soybean,Rye,V1,0,0.069333333,122,226,12,0,0,10,0.069333333,120,168,0,2,48,37.06666667,24.66666667,On Farm,2737.237927,121.1167224,2034.760937,581.3602678
Greeley,Check,4,7/21/2021,Late,Soybean,Rye,R3,0,0.452833333,7,226,12,0,0,10,0.015433333,5,168,0.4374,2,48,21.63333333,23.86666667,On Farm,2737.237927,121.1167224,2034.760937,581.3602678
Greeley,Cover,1,6/3/2021,Early,Soybean,Rye,V1,105.27,0,2,38,9,0,0,2,0,2,0,0,0,36,36.93333333,37.83333333,On Farm,460.2435453,24.22334449,0,436.0202008
Greeley,Cover,1,7/21/2021,Late,Soybean,Rye,R3,105.27,0.0006,1,38,9,0,0,2,0.0006,1,0,0,0,36,29.7,30.53333333,On Farm,460.2435453,24.22334449,0,436.0202008
Greeley,Cover,2,6/3/2021,Early,Soybean,Rye,V1,111.27,0.0238,3,300,19,0,0,83,0.0119,2,188,0.0119,1,29,24.46666667,35.63333333,On Farm,3633.501673,1005.268796,2276.994382,351.2384951
Greeley,Cover,2,7/21/2021,Late,Soybean,Rye,R3,111.27,0,0,300,19,0,0,83,0,0,188,0,0,29,24.56666667,29.5,On Farm,3633.501673,1005.268796,2276.994382,351.2384951
Greeley,Cover,3,6/3/2021,Early,Soybean,Rye,V1,105.05,0.0096,5,87,16,0.004,1,35,0.0028,4,37,0.0028,0,15,21.73333333,33.16666667,On Farm,1053.715485,423.9085286,448.1318731,181.6750837
Greeley,Cover,3,7/21/2021,Late,Soybean,Rye,R3,105.05,0.019,6,87,16,0,0,35,0.019,6,37,0,0,15,15.53333333,28.13333333,On Farm,1053.715485,423.9085286,448.1318731,181.6750837
Greeley,Cover,4,6/3/2021,Early,Soybean,Rye,V1,122.015,0.002866667,5,112,18,0,0,2,0.001433333,2,40,0.001433333,3,70,33.76666667,29.9,On Farm,1356.507291,24.22334449,484.4668898,847.8170571
Greeley,Cover,4,7/21/2021,Late,Soybean,Rye,R3,122.015,0.007066667,3,112,18,0,0,2,0.007066667,3,40,0,0,70,29.06666667,25.73333333,On Farm,1356.507291,24.22334449,484.4668898,847.8170571
Howard,Check,1,6/1/2021,Early,Corn,Rye,V3,76.5,0,0,49,11,0,0,6,0,0,2,0,0,41,43.86666667,22.2,On Farm,593.47194,72.67003347,24.22334449,496.578562
Howard,Check,1,7/7/2021,Late,Corn,Rye,V10,76.5,0,0,49,11,0,0,6,0,0,2,0,0,41,34.26666667,24.5,On Farm,593.47194,72.67003347,24.22334449,496.578562
Howard,Check,2,6/1/2021,Early,Corn,Rye,V3,206.92,0.0242,102,460,13,0,1,104,0.0096,99,148,0.0146,2,208,42.23333333,27.6,On Farm,5571.369233,1259.613913,1792.527492,2519.227827
Howard,Check,2,7/7/2021,Late,Corn,Rye,V10,206.92,0.007366667,22,460,13,0.001266667,1,104,0,0,148,0.0061,21,208,42.8,24.03333333,On Farm,5571.369233,1259.613913,1792.527492,2519.227827
Howard,Check,3,6/1/2021,Early,Corn,Rye,V3,223.3534,1.569766667,603,612,15,0,3,54,1.569766667,600,286,0,0,272,48.66666667,34.3,On Farm,7412.343414,654.0303012,3463.938262,3294.374851
Howard,Check,3,7/7/2021,Late,Corn,Rye,V10,223.3534,1.510233333,318,612,15,0.342633333,44,54,1.1676,274,286,0,0,272,50.43333333,23.7,On Farm,7412.343414,654.0303012,3463.938262,3294.374851
Howard,Check,4,6/1/2021,Early,Corn,Rye,V3,157.89,0.220266667,39,267,11,0,9,167,0.220266667,30,29,0,0,71,47.96666667,36.9,On Farm,3233.816489,2022.649265,351.2384951,859.9287294
Howard,Check,4,7/7/2021,Late,Corn,Rye,V10,157.89,0.1727,122,267,11,0.014166667,33,167,0.158533333,89,29,0,0,71,47.53333333,23.16666667,On Farm,3233.816489,2022.649265,351.2384951,859.9287294
Howard,Cover,1,6/1/2021,Early,Corn,Rye,V3,142.38,0.004566667,12,135,14,0.004566667,11,38,0,1,0,0,0,97,44.7,25.03333333,On Farm,1635.075753,460.2435453,0,1174.832208
Howard,Cover,1,7/7/2021,Late,Corn,Rye,V10,142.38,0.988833333,24,135,14,0.9875,22,38,0.001333333,2,0,0,0,97,39.73333333,24.33333333,On Farm,1635.075753,460.2435453,0,1174.832208
Howard,Cover,2,6/1/2021,Early,Corn,Rye,V3,131.16,0,72,374,17,0,58,35,0,14,133,0,0,206,47.53333333,30.1,On Farm,4529.76542,423.9085286,1610.852409,2495.004482
Howard,Cover,2,7/7/2021,Late,Corn,Rye,V10,131.16,0.003666667,6,374,17,0,0,35,0.003666667,6,133,0,0,206,41.2,23.83333333,On Farm,4529.76542,423.9085286,1610.852409,2495.004482
Howard,Cover,3,6/1/2021,Early,Corn,Rye,V3,182.63334,0.101633333,43,275,14,0,0,100,0.101633333,41,56,0,2,119,46.03333333,36.4,On Farm,3330.709867,1211.167224,678.2536457,1441.288997
Howard,Cover,3,7/7/2021,Late,Corn,Rye,V10,182.63334,0.053466667,46,275,14,0.0021,7,100,0.0468,37,56,0.004566667,2,119,46.66666667,23.43333333,On Farm,3330.709867,1211.167224,678.2536457,1441.288997
Howard,Cover,4,6/1/2021,Early,Corn,Rye,V3,146.62,0.005566667,19,137,16,0.001966667,19,22,0.0036,0,31,0,0,84,42.6,36.86666667,On Farm,1659.299098,266.4567894,375.4618396,1017.380469
Howard,Cover,4,7/7/2021,Late,Corn,Rye,V10,146.62,0.005733333,14,137,16,0.005733333,14,22,0,0,31,0,0,84,35.56666667,22.16666667,On Farm,1659.299098,266.4567894,375.4618396,1017.380469
