overview,Treatment,Site,Rep,shan_div,shan_hill,richness,evenness
ENREC_Check_1,Check,ENREC,1,1.054920168,2.871745887,3,0.960229718
ENREC_Check_2,Check,ENREC,2,0.955699891,2.600490006,3,0.86991553
ENREC_Check_3,Check,ENREC,3,0.409458619,1.506002243,3,0.372705296
ENREC_Rye_1,Rye,ENREC,1,0,1,1,
ENREC_Rye_2,Rye,ENREC,2,1.970630625,7.175199923,8,0.94767301
ENREC_Rye_3,Rye,ENREC,3,1.040850024,2.831622938,5,0.646716481
ENREC_Vetch_1,Vetch,ENREC,1,1.506883349,4.512644516,7,0.774384855
ENREC_Vetch_2,Vetch,ENREC,2,0.804672564,2.235964243,5,0.499971175
ENREC_Vetch_3,Vetch,ENREC,3,1.147972914,3.151797466,7,0.589941378
SCAL_Check_1,Check,SCAL,1,1.18651399,3.275642358,5,0.737222592
SCAL_Check_2,Check,SCAL,2,0.865587036,2.37640071,5,0.537819464
SCAL_Check_3,Check,SCAL,3,1.011404265,2.749459274,3,0.920619836
SCAL_Rye_1,Rye,SCAL,1,1.756128571,5.789978459,9,0.799248556
SCAL_Rye_2,Rye,SCAL,2,1.492060436,4.446247297,6,0.832734785
SCAL_Rye_3,Rye,SCAL,3,0.897945725,2.454555596,3,0.817345422
SCAL_Vetch_1,Vetch,SCAL,1,1.56637346,4.789248263,6,0.874209673
SCAL_Vetch_2,Vetch,SCAL,2,1.166382825,3.21035918,4,0.841367359
SCAL_Vetch_3,Vetch,SCAL,3,1.441664774,4.227728174,6,0.80460843
