Site,Treatment,Rep,Sample_Date,Season,Current_crop,Previous_crop,Crop_Stage,avgCoverCrop_Biomass,avgBiomass_Total,sumWeed_Density,totSeeds_Weeds,Total_Species,avgBiomass_Pigweed,sumPigweed_Density,totSeeds_Pigweed,avgBiomass_Grass,sumGrass_Density,totSeeds_Grasses,avgBiomass_Broadleaf,sumBroadleaf_Density,totSeeds_Otherbroad,avgMoisture,avgTemperature,FieldType
Colfax,Check,1,5/28/2021,Early,Corn,Wheat,V2,228.38,0,0,14,2,0,0,0,0,0,0,0,0,14,44.63333333,20.53333333,On Farm
Colfax,Check,1,7/6/2021,Late,Corn,Wheat,V11,228.38,0,0,14,2,0,0,0,0,0,0,0,0,14,17.96666667,22.53333333,On Farm
Colfax,Check,2,5/28/2021,Early,Corn,Wheat,V2,154.48,0,0,11,1,0,0,0,0,0,0,0,0,11,45.6,20.2,On Farm
Colfax,Check,2,7/6/2021,Late,Corn,Wheat,V11,154.48,0,0,11,1,0,0,0,0,0,0,0,0,11,19.26666667,25.06666667,On Farm
Colfax,Check,3,5/28/2021,Early,Corn,Wheat,V2,114.44,0,0,4,1,0,0,0,0,0,0,0,0,4,45.13333333,23.43333333,On Farm
Colfax,Check,3,7/6/2021,Late,Corn,Wheat,V11,114.44,0,0,4,1,0,0,0,0,0,0,0,0,4,16.7,28.16666667,On Farm
Colfax,Check,4,5/28/2021,Early,Corn,Wheat,V2,121.11,0,0,35,4,0,0,19,0,0,0,0,0,16,45.66666667,22.6,On Farm
Colfax,Check,4,7/6/2021,Late,Corn,Wheat,V11,121.11,0,0,35,4,0,0,19,0,0,0,0,0,16,19.96666667,30.13333333,On Farm
Colfax,Multi Species,1,5/28/2021,Early,Corn,Wheat,V2,333.2266,0,0,9,3,0,0,1,0,0,5,0,0,5,46.6,20.36666667,On Farm
Colfax,Multi Species,1,7/6/2021,Late,Corn,Wheat,V11,333.2266,0,0,9,3,0,0,1,0,0,5,0,0,5,27.7,23.56666667,On Farm
Colfax,Multi Species,2,5/28/2021,Early,Corn,Wheat,V2,215.75,0,0,14,3,0,0,1,0,0,2,0,0,13,46,20.7,On Farm
Colfax,Multi Species,2,7/6/2021,Late,Corn,Wheat,V11,215.75,0,0,14,3,0,0,1,0,0,2,0,0,13,17.7,26.06666667,On Farm
Colfax,Multi Species,3,5/28/2021,Early,Corn,Wheat,V2,352.64,0,0,13,3,0,0,0,0,0,1,0,0,12,40.56666667,22.9,On Farm
Colfax,Multi Species,3,7/6/2021,Late,Corn,Wheat,V11,352.64,0,0,13,3,0,0,0,0,0,1,0,0,12,25.6,27.3,On Farm
Colfax,Multi Species,4,5/28/2021,Early,Corn,Wheat,V2,295.84,0,0,21,3,0,0,11,0,0,0,0,0,10,46.66666667,23.26666667,On Farm
Colfax,Multi Species,4,7/6/2021,Late,Corn,Wheat,V11,295.84,0,0,21,3,0,0,11,0,0,0,0,0,10,20.56666667,29.06666667,On Farm
ENREC,Check,1,6/4/2021,Early,Corn,Soybean,V3,0,0.3756,372,5,3,0.022266667,332,1,0.058166667,8,0,0.013466667,32,4,42.13333333,12.56666667,Research Station
ENREC,Check,1,7/3/2021,Late,Corn,Soybean,V10,0,0.317333333,136,5,3,0.317333333,124,1,0,0,0,0,12,4,16.4,26.66666667,Research Station
ENREC,Check,2,6/4/2021,Early,Corn,Soybean,V3,0,0.823733333,444,7,3,0.014266667,372,1,0,0,0,0.191666667,72,6,41.53333333,13.26666667,Research Station
ENREC,Check,2,7/3/2021,Late,Corn,Soybean,V10,0,4.390933333,976,7,3,4.390933333,960,1,0,8,0,0,8,6,22.6,25.2,Research Station
ENREC,Check,3,6/4/2021,Early,Corn,Soybean,V3,0,8.322666667,2212,19,3,2.066666667,2196,17,0.014,0,0,0,16,2,41.63333333,13.93333333,Research Station
ENREC,Check,3,7/3/2021,Late,Corn,Soybean,V10,0,11.65386667,312,19,3,11.65386667,312,17,0,0,0,0,0,2,28.83333333,22.53333333,Research Station
ENREC,Cereal Rye,1,6/4/2021,Early,Corn,Soybean,V3,29.99899,1.1128,192,6,1,0.026066667,132,6,0.0713,4,0,0.180833333,56,0,39.06666667,12.36666667,Research Station
ENREC,Cereal Rye,1,7/3/2021,Late,Corn,Soybean,V10,29.99899,0.293333333,48,6,1,0.293333333,44,6,0,0,0,0,4,0,24.9,25.93333333,Research Station
ENREC,Cereal Rye,2,6/4/2021,Early,Corn,Soybean,V3,13.8639,0.134933333,112,30,8,0.025266667,56,5,0,0,0,0.008466667,56,26,42.23333333,12.7,Research Station
ENREC,Cereal Rye,2,7/3/2021,Late,Corn,Soybean,V10,13.8639,0.101333333,140,30,8,0.101333333,116,5,0,0,0,0,24,26,20.03333333,24.9,Research Station
ENREC,Cereal Rye,3,6/4/2021,Early,Corn,Soybean,V3,12.47536,0.437466667,564,24,5,0.109366667,524,16,0,4,0,0,36,8,42.93333333,13.4,Research Station
ENREC,Cereal Rye,3,7/3/2021,Late,Corn,Soybean,V10,12.47536,0.221866667,116,24,5,0.221866667,112,16,0,0,0,0,4,8,30.1,23,Research Station
ENREC,VetchDNI,1,6/4/2021,Early,Corn,Soybean,V3,0,0.105866667,48,17,7,0.005133333,32,9,0.021333333,8,2,0,8,6,42.66666667,12.36666667,Research Station
ENREC,VetchDNI,1,7/3/2021,Late,Corn,Soybean,V10,0,0.130533333,88,17,7,0.1264,72,9,0.004133333,12,2,0,4,6,20.56666667,27.16666667,Research Station
ENREC,VetchDNI,2,6/4/2021,Early,Corn,Soybean,V3,0,0.521866667,120,32,5,0.023433333,108,25,0,4,0,0.107033333,8,7,41.66666667,12.36666667,Research Station
ENREC,VetchDNI,2,7/3/2021,Late,Corn,Soybean,V10,0,0.304533333,72,32,5,0.304533333,48,25,0,0,0,0,24,7,23.03333333,24.23333333,Research Station
ENREC,VetchDNI,3,6/4/2021,Early,Corn,Soybean,V3,0,1.267066667,148,31,7,0.177,104,23,0.0611,8,0,0.078666667,36,8,42.03333333,13.26666667,Research Station
ENREC,VetchDNI,3,7/3/2021,Late,Corn,Soybean,V10,0,1.217466667,48,31,7,1.093866667,32,23,0,0,0,0.1236,16,8,28.6,23.66666667,Research Station
Greeley,Check,1,6/3/2021,Early,Soybean,Rye,V1,0,0.3485,12,25,16,0,0,2,0.294366667,8,8,0.054133333,4,16,27.03333333,37.26666667,On Farm
Greeley,Check,1,7/21/2021,Late,Soybean,Rye,R3,0,2.037366667,34,25,16,0,0,2,2.037366667,34,8,0,0,16,26.2,30.1,On Farm
Greeley,Check,2,6/3/2021,Early,Soybean,Rye,V1,0,0.3412,19,198,18,0.002733333,0,7,0.329333333,19,143,0.009133333,0,49,33.9,31.3,On Farm
Greeley,Check,2,7/21/2021,Late,Soybean,Rye,R3,0,0.035766667,30,198,18,0,0,7,0.035766667,30,143,0,0,49,22.53333333,26.6,On Farm
Greeley,Check,3,6/3/2021,Early,Soybean,Rye,V1,0,0.359966667,19,188,15,0.021966667,0,6,0.302133333,19,36,0.035866667,0,146,34.56666667,27.6,On Farm
Greeley,Check,3,7/21/2021,Late,Soybean,Rye,R3,0,0.8352,8,188,15,0,0,6,0.046366667,7,36,0.788833333,1,146,25.4,25.03333333,On Farm
Greeley,Check,4,6/3/2021,Early,Soybean,Rye,V1,0,0.069333333,122,226,12,0,0,10,0.069333333,120,168,0,2,48,37.06666667,24.66666667,On Farm
Greeley,Check,4,7/21/2021,Late,Soybean,Rye,R3,0,0.452833333,7,226,12,0,0,10,0.015433333,5,168,0.4374,2,48,21.63333333,23.86666667,On Farm
Greeley,Multi Species,1,6/3/2021,Early,Soybean,Rye,V1,105.27,0,2,38,9,0,0,2,0,2,0,0,0,36,36.93333333,37.83333333,On Farm
Greeley,Multi Species,1,7/21/2021,Late,Soybean,Rye,R3,105.27,6.00E-04,1,38,9,0,0,2,6.00E-04,1,0,0,0,36,29.7,30.53333333,On Farm
Greeley,Multi Species,2,6/3/2021,Early,Soybean,Rye,V1,111.27,0.0238,3,300,19,0,0,83,0.0119,2,188,0.0119,1,29,24.46666667,35.63333333,On Farm
Greeley,Multi Species,2,7/21/2021,Late,Soybean,Rye,R3,111.27,0,0,300,19,0,0,83,0,0,188,0,0,29,24.56666667,29.5,On Farm
Greeley,Multi Species,3,6/3/2021,Early,Soybean,Rye,V1,105.05,0.0096,5,87,16,0.004,1,35,0.0028,4,37,0.0028,0,15,21.73333333,33.16666667,On Farm
Greeley,Multi Species,3,7/21/2021,Late,Soybean,Rye,R3,105.05,0.019,6,87,16,0,0,35,0.019,6,37,0,0,15,15.53333333,28.13333333,On Farm
Greeley,Multi Species,4,6/3/2021,Early,Soybean,Rye,V1,122.015,0.002866667,5,112,18,0,0,2,0.001433333,2,40,0.001433333,3,70,33.76666667,29.9,On Farm
Greeley,Multi Species,4,7/21/2021,Late,Soybean,Rye,R3,122.015,0.007066667,3,112,18,0,0,2,0.007066667,3,40,0,0,70,29.06666667,25.73333333,On Farm
Howard,Check,1,6/1/2021,Early,Corn,Rye,V3,76.5,0,0,49,11,0,0,6,0,0,2,0,0,41,43.86666667,22.2,On Farm
Howard,Check,1,7/7/2021,Late,Corn,Rye,V10,76.5,0,0,49,11,0,0,6,0,0,2,0,0,41,34.26666667,24.5,On Farm
Howard,Check,2,6/1/2021,Early,Corn,Rye,V3,206.92,0.0242,102,460,13,0,1,104,0.0096,99,148,0.0146,2,208,42.23333333,27.6,On Farm
Howard,Check,2,7/7/2021,Late,Corn,Rye,V10,206.92,0.007366667,22,460,13,0.001266667,1,104,0,0,148,0.0061,21,208,42.8,24.03333333,On Farm
Howard,Check,3,6/1/2021,Early,Corn,Rye,V3,223.3534,1.569766667,603,612,15,0,3,54,1.569766667,600,286,0,0,272,48.66666667,34.3,On Farm
Howard,Check,3,7/7/2021,Late,Corn,Rye,V10,223.3534,1.510233333,318,612,15,0.342633333,44,54,1.1676,274,286,0,0,272,50.43333333,23.7,On Farm
Howard,Check,4,6/1/2021,Early,Corn,Rye,V3,157.89,0.220266667,39,267,11,0,9,167,0.220266667,30,29,0,0,71,47.96666667,36.9,On Farm
Howard,Check,4,7/7/2021,Late,Corn,Rye,V10,157.89,0.1727,122,267,11,0.014166667,33,167,0.158533333,89,29,0,0,71,47.53333333,23.16666667,On Farm
Howard,Multi Species,1,6/1/2021,Early,Corn,Rye,V3,142.38,0.004566667,12,135,14,0.004566667,11,38,0,1,0,0,0,97,44.7,25.03333333,On Farm
Howard,Multi Species,1,7/7/2021,Late,Corn,Rye,V10,142.38,0.988833333,24,135,14,0.9875,22,38,0.001333333,2,0,0,0,97,39.73333333,24.33333333,On Farm
Howard,Multi Species,2,6/1/2021,Early,Corn,Rye,V3,131.16,0,72,374,17,0,58,35,0,14,133,0,0,206,47.53333333,30.1,On Farm
Howard,Multi Species,2,7/7/2021,Late,Corn,Rye,V10,131.16,0.003666667,6,374,17,0,0,35,0.003666667,6,133,0,0,206,41.2,23.83333333,On Farm
Howard,Multi Species,3,6/1/2021,Early,Corn,Rye,V3,182.63334,0.101633333,43,275,14,0,0,100,0.101633333,41,56,0,2,119,46.03333333,36.4,On Farm
Howard,Multi Species,3,7/7/2021,Late,Corn,Rye,V10,182.63334,0.053466667,46,275,14,0.0021,7,100,0.0468,37,56,0.004566667,2,119,46.66666667,23.43333333,On Farm
Howard,Multi Species,4,6/1/2021,Early,Corn,Rye,V3,146.62,0.005566667,19,137,16,0.001966667,19,22,0.0036,0,31,0,0,84,42.6,36.86666667,On Farm
Howard,Multi Species,4,7/7/2021,Late,Corn,Rye,V10,146.62,0.005733333,14,137,16,0.005733333,14,22,0,0,31,0,0,84,35.56666667,22.16666667,On Farm
Merrick,Check,1,6/2/2021,Early,Corn,Soybean,V3,0,0.057333333,17,139,13,0.0017,4,71,0.055633333,13,11,0,0,58,17.7,26.3,On Farm
Merrick,Check,2,6/2/2021,Early,Corn,Soybean,V3,0,0.173,4,656,10,0.0277,4,57,0.0153,0,10,0.13,0,589,19.66666667,31.56666667,On Farm
Merrick,Check,3,6/2/2021,Early,Corn,Soybean,V3,0,0.068,18,201,13,0.034366667,12,40,0.019533333,5,103,0.0141,1,57,21.33333333,36.83333333,On Farm
Merrick,Check,4,6/2/2021,Early,Corn,Soybean,V3,0,0.2659,10,209,12,0.003633333,6,59,0.025966667,4,54,0.2363,0,96,17.9,35.96666667,On Farm
Merrick,Multi Species,1,6/2/2021,Early,Corn,Soybean,V3,387.2734,0.004533333,32,257,16,0.004533333,21,195,0,11,19,0,0,42,14.03333333,22.16666667,On Farm
Merrick,Multi Species,2,6/2/2021,Early,Corn,Soybean,V3,449.7466,0.0026,26,372,11,0.0026,17,285,0,9,22,0,0,65,20.63333333,28.63333333,On Farm
Merrick,Multi Species,3,6/2/2021,Early,Corn,Soybean,V3,418.7866,0.048433333,23,471,15,0.048433333,9,336,0,13,27,0,1,108,22.63333333,34.06666667,On Farm
Merrick,Multi Species,4,6/2/2021,Early,Corn,Soybean,V3,353.9334,0.004866667,17,288,11,0.001133333,15,218,0.003733333,2,30,0,0,40,14.33333333,36.46666667,On Farm
SCAL,Check,1,5/27/2021,Early,Corn,Soybean,V3,0,1.1296,708,23,5,1.086666667,652,10,0,0,0,0.042933333,56,13,39.76666667,37,Research Station
SCAL,Check,1,7/2/2021,Late,Corn,Soybean,V10,0,2.704266667,28,23,5,2.484133333,20,10,0.220133333,8,0,0,0,13,32.33333333,29.76666667,Research Station
SCAL,Check,2,5/27/2021,Early,Corn,Soybean,V3,0,0.8144,488,32,5,0.8144,464,6,0,0,0,0,24,26,44.7,28.16666667,Research Station
SCAL,Check,2,7/2/2021,Late,Corn,Soybean,V10,0,13.38,80,32,5,11.6884,68,6,1.6916,12,0,0,0,26,30.43333333,27.1,Research Station
SCAL,Check,3,5/27/2021,Early,Corn,Soybean,V3,0,1.097066667,540,6,3,1.047466667,532,4,0,0,0,0.0496,8,2,43.06666667,26.5,Research Station
SCAL,Check,3,7/2/2021,Late,Corn,Soybean,V10,0,6.5136,144,6,3,6.446,120,4,0,0,0,0.0676,24,2,34.46666667,23.93333333,Research Station
