Site,Treatment,Rep,TOTAL_SPECIES,TOTAL_WEEDS,TOTAL_PIGWEEDS,TOTAL_GRASSES,TOTAL_OTHERBROAD,AMATU,SOLRO,ERICA,SCHAC,MOLVE,OXAST,AMARE,CHEAL,SETVI,EUPMA,POROL,THLAR,ABUTH,PLOT,AMAPA,SETPU,ECHCR,MEDLU,SOLPT,DIGSA,SINAR,AEGCY,ERACIL,ERASP,ELYRE,AVEFA,SOLPH,AMBPS,MELOF,DIGIS,ALOCA,CHANU,VERST,CAPBU,SECCE,VERBR,UNKNOWN,CERFO,POAAN,DESPI,SETFA,STELME,POLPE,CHOTE,AMAAL,CYPES,ANAAR,CENLO,FALCO,HELAN,VERPE,FAGES,AMAHY,LINDU,FATVI,HIBTR,TRITE,SIDSP
Colfax,Check,1,2,14,0,0,14,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colfax,Check,2,1,11,0,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colfax,Check,3,1,4,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colfax,Check,4,4,35,19,0,16,19,1,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colfax,Multi Species,1,3,9,1,5,5,1,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colfax,Multi Species,2,3,14,1,2,13,1,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colfax,Multi Species,3,3,13,0,1,12,0,0,1,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colfax,Multi Species,4,3,21,11,0,10,11,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENREC,Check,1,3,5,1,0,4,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENREC,Check,2,3,7,1,0,6,1,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENREC,Check,3,3,19,17,0,2,17,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENREC,Cereal Rye,1,1,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
